钱	现金	4.58
运算	计算	4.137037037
喝	嘴	4.07037037
钱	货币	3.896296296
轿车	汽车	3.703703704
中午	正午	3.696
炉	炉灶	3.62962963
律师	证据	3.474074074
医生	负责	3.396296296
治疗	恢复	3.277777778
电影	剧院	3.022222222
竞争	价格	3.018518519
生命	死亡	2.803703704
心理学	佛洛依德	2.737037037
水	渗漏	2.651851852
计算机	键盘	2.555555556
心理学	精神病学	2.388888889
天气	预报	2.34
情侣	争吵	2.288888889
杂货店	钱	2.248148148
鸟	鹤	2.2
信用	信息	2.17037037
男人	管理者	2.17037037
钱	洗钱	2.166666667
火车	汽车	2.166666667
心理学	焦虑	2.148148148
飞机	汽车	2.07037037
工具	用	2.032
信用	卡	2.02962963
星座	行星	2.022222222
鸟	公鸡	2.02
食物	公鸡	1.896296296
心理学	诊所	1.866666667
公正	利益	1.814814815
旅馆	预订	1.614814815
琴弦	微笑	1.544444444
海岸	森林	1.368
观察	建筑	1.348
药物	滥用	1.32963
死亡	吵闹	1.188
喝	母亲	1.177777778
几率	女孩	0.740740741
小伙子	巫师	0.633333333
问题	机场	0.607407407
喝	耳朵	0.351851852
喝	汽水	0.314814815
股票	CD	0.311111111
产品	徒步	0.174444444
国王	卷心菜	0.155555556
中午	线绳	0.062962963
足球	足球	4.98
老虎	老虎	4.888888889
恒星	恒星	4.722222222
入场券	门票	4.596296296
 钱	 现金	4.58
银行	钱	4.292
手机	电话	4.281481481
宝石	珠宝	4.244444444
类型	种类	4.240740741
新闻	报道	4.103703704
街道	街区	4.040740741
街道	大街	3.988888889
书	图书馆	3.968
书	纸	3.911111111
医生	护士	3.851851852
老虎	动物	3.818518519
战争 	部队	3.792
老虎	食肉动物	3.777777778
男孩	小伙子	3.776
自然	环境	3.768
先例	例子	3.751851852
法律	律师	3.748
老虎	生物	3.737037037
钱	现金	3.688
教授	博士	3.644444444
环境	生态	3.64
老虎	猫科动物	3.637037037
行星	星系	3.592592593
心理学	学科	3.588888889
峡谷	景观	3.58
液体	水	3.544
计算机	软件	3.533333333
电影	明星	3.532
老虎	美洲虎	3.52962963
英里	公里	3.48
老虎	哺乳动物	3.462962963
海鲜	龙虾	3.436
精神病院	疯人院	3.416
钱	财产	3.4
中风	医院	3.377777778
海鲜	食物	3.355555556
电视	电影	3.352
杯子	餐具	3.351851852
网球	球拍	3.348
树木	森林	3.27037037
杯子	物品	3.269230769
性交	 性	3.26
美元	日元	3.253846154
哈佛	耶鲁	3.233333333
老虎	动物群	3.211111111
海鲜	海洋	3.203703704
货币	市场	3.196296296
钱	存款	3.192592593
海岸	岸	3.18
食物	水果	3.166666667
喝	吃	3.16
钱	财富	3.151851852
计算机	互联网	3.148148148
男人	女人	3.144
国王	女王	3.133333333
伏特加酒	白兰地酒	3.122222222
婴儿	母亲	3.12
音乐会	演奏家	3.12
马拉多纳	足球	3.104
比赛	团队	3.096296296
摇滚乐	爵士乐	3.077777778
歌剧	表演	3.076
面包	黄油	3.069230769
国家	公民	3.064
伏特加酒	杜松子酒	3.056
股票	市场	3.024
网络	硬件	3.003703704
管理者	办公室	3
心理学	认知	3
钱	经营	2.981481481
自然	人	2.98
拳击	回合	2.977777778
心理学	科学	2.977777778
公告	新闻	2.968
比赛	回合	2.951851852
红利	报酬	2.948148148
白天	黎明	2.948
物理	质子	2.928
道德	婚姻	2.916
钱	银行	2.911111111
铝	金属	2.908
投资者	收入	2.892
展览	纪念品	2.888888889
空间	世界	2.885185185
 夏天	干旱	2.856
钱	美元	2.852
先例	前情	2.848148148
道德	重要性	2.824
公司	股票	2.82
旅行	活动	2.781481481
联邦调查局	调查	2.781481481
奖章	英勇	2.766666667
龙虾	食物	2.728
电话	设备	2.725925926
阵雨	洪水	2.724
足球	篮球	2.712
杯子	咖啡	2.711111111
心理学	健康	2.707407407
列表	类别	2.707407407
责任	保险	2.7
日本人	美国人	2.672
OPEC	石油	2.67037037
比赛	胜利	2.666666667
冠军赛	锦标赛	2.662962963
性别	平等	2.66
旅程	航程	2.648
 耶路撒冷	 以色列	2.648
旅程	汽车	2.644444444
医院	基础设施	2.64
杯子	手工艺品	2.633333333
能源	危机	2.616
 计算机	 实验室	2.616
世纪	年	2.607407407
设备	制造商	2.6
电视	广播	2.592592593
酒精	化学	2.584
死亡	囚犯	2.559259259
战斗	击败	2.555555556
火星	科学家	2.533333333
欧佩克	国家	2.524
爱	性	2.518518519
杯子	液体	2.516
足球	网球	2.5
观众	连续剧	2.496296296
学生	教授	2.496296296
行星	月亮	2.481481481
奢侈品	汽车	2.474074074
管理者	面试	2.472
 耶路撒冷	 巴勒斯坦	2.472
残疾	死亡	2.466666667
比赛	击败	2.466666667
媒介	广播	2.437037037
美元	澳元	2.437037037
领土	公里	2.436
杯子	实体	2.428
电影	评论家	2.428
电影	爆米花	2.416
杯子	物体	2.412
人口	发展	2.412
和平	气氛	2.364
行星	天文学家	2.32962963
杯子	饮料	2.324
魔术师	巫师	2.318518519
心理学	头脑	2.314814815
博物馆	剧院	2.296
谋杀	误杀	2.288
夏天	自然	2.264
记录	数字	2.256
行星	太空	2.251851852
产品	员工	2.248148148
问题	挑战	2.24
受害者	紧急情况	2.204
政府	危机	2.192592593
心理学	医生	2.181481481
小伙子	兄弟	2.176
改变	态度	2.168
部署	出发	2.16
图像	表面	2.16
 开始	 比赛	2.156
虎	猫	2.155555556
老虎	动物园	2.151851852
心理学	抑郁	2.148148148
部署	撤回	2.128
阿拉法特	和平	2.124
